name,latin_name,temperature,length,location,food,kryjowka_info,breeding_info
Brzanka odeska – Brzanka dwuplama, Pethia padamya ,16 - 25°C,4 - 4.5 cm,Azja,"mrożony,suchy,żywy","<p>Dla niewielkiej grupy brzanek odessa niezbędne będzie akwarium min. 80 cm długości. Wystrój nie jest zbyt istotny, jednak w zbiornikach roślinnych z ciemnym podłożem prezentują ładniejsze kolory. Pływające rośliny, dekoracje z korzeni lub drewna rozproszą wpadające światło i dodadzą bardziej naturalnego wyglądu. Filtracja nie musi być szczególnie silna, choć wydaje się, że<strong> lepiej czują się w akwariach urządzonych na wzór rwącej rzeki z dużym ruchem wody</strong>.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Brzanka różowa, Pethia conchonius ,16 - 24°C,9 - 12 cm,Azja,"mrożony,roślinny,suchy,żywy",<p>Zalecane przestronne akwarium o długości co najmniej 100 cm. Brzanki różowe najlepiej prezentować się będą na tle gęstej roślinności i ciemnego podłoża. Stłumione pływającą roślinnością światło i poskręcane korzenie dodadzą zbiornikowi bardziej naturalnego wyglądu. Lubią dość silny przepływ wody.</p>,"Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Brzanka rekinia, Balantiocheilos melanopterus ,22 - 28°C,25 cm,Azja,"mrożony,roślinny,suchy,żywy","<p><strong>Wymagane bardzo duże akwarium</strong> o długości powyżej 180 cm, które aby zapobiec wyskakiwaniu ryb musi być szczelnie przykryte. Podczas planowania zbiornika dla Brzanek rekinich trzeba uwzględnić przede wszystkim dużą przestrzeń do pływania. Gatunek ten będzie prezentował się wspaniale w akwarium zaprojektowanym na podobieństwo rwącej rzeki – jako podłoże żwir rzeczny a do dekoracji kilka większych kamieni i korzeni. Brzanki te są wrażliwe na zanieczyszczenia organiczne. Woda musi być dobrze filtrowana i natleniana. Należy im także zapewnić odpowiednio silny ruch wody. Ze względu na swój rozmiar Brzanka rekinia nie pasuje do akwarium ogólnego. Jeżeli jednak posiadamy odpowiednio duże akwarium może być trzymana z większymi rybami takimi jak np. <a title=""Bocja Wspaniała"" href=""https://rybyakwariowe.eu/ryba-akwariowa/bocja-wspaniala-bocje-wspaniale/"">Bocja Wspaniała</a>, <a title=""Kosiarka – Grubowarg Syjamski"" href=""https://rybyakwariowe.eu/ryba-akwariowa/kosiarka-grubowarg-syjamski-kosiarki/"">Kosiarka</a>, <a title=""Sum Rekini"" href=""https://rybyakwariowe.eu/ryba-akwariowa/sum-rekini-rekin-sumy-rekinie/"">Sum rekini</a>.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,6 - 10 lat"
Akara pomarańczowopłetwa, Andinoacara rivulatus ,20 - 25°C,20 - 30 cm,Ameryka Płd.,bardzo agresywne,"<p>Akary pomarańczowopłetwe wymagają co najmniej zbiornika o długości 150 cm, z miękkim, najlepiej piaszczystym podłożem oraz licznymi dekoracjami w postaci korzeni i płaskich kamieni, które posłużą im jako miejsce do odbycia tarła. Jeżeli planujemy towarzystwo innych ryb to musimy zapewnić im tyle kryjówek ile to tylko możliwe. Pomimo, że najpewniej tym zabiegiem nie wyeliminujemy całkowicie agresji Akar to przynajmniej nieco ją rozproszymy. Akwarium najlepiej zacienić roślinnością pływającą. Roślinny zakorzeniające się w podłożu prędzej czy później zostaną wykopane. Należy wybierać gatunki, które rosną przymocowane do dekoracji, takie jak np. <a title=""Anubias bateri Nana"" href=""https://rybyakwariowe.eu/roslina-akwariowa/anubias-bateri-nana/"">Anubias</a>, Mikrozorium oskrzydlone, które mają znacznie większą szanse na przetrwanie. Akary pomarańczowopłetwe <strong>są rybami dość wrażliwymi na zanieczyszczenia wody</strong>, dlatego też niezbędny jest wydajny filtr biologiczny oraz częste podmiany wody.</p>","Żerowanie: ,przy dnie,, ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo agresywne,Trudność hodowli: ,trudna,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Brzanka wysmukła – titteya, Puntius titteya ,20 - 27°C,4 - 5 cm,Azja,"mrożony,suchy,żywy","<p>Grupę 6-10 osobników możemy trzymać w akwarium o wymiarach 60x30x30 cm. Najlepiej prezentują się w zbiornikach gęsto obsadzonych roślinnością i z ciemnym podłożem. <strong>Pomimo, że są rybkami dość śmiałymi to pewniej się czują mając kilka zacienionych, zakamarków gdzie mogą się schować</strong>. Do tego celu można użyć np. roślin pływających, korzeni i suchych gałęzi. Lubią wymuszony prąd wody. Ryby ze sklepów pochodzą głównie z farm hodowlanych, są dość wytrzymałe i łatwo adaptują się do różnych właściwości chemicznych wody. Dzika forma preferuje wodę lekko kwaśną i miękką.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,4 - 7 lat"
Brzanka sumatrzańska, Puntigrus tetrazona ,22 - 26°C,5 cm,Azja,"mrożony,roślinny,suchy,żywy","<p>Ryby bardzo ruchliwe potrzebują dużej przestrzeni do pływania. Dla grupy odpowiedni będzie zbiornik o długości co najmniej 80cm. Najładniej prezentują się w gęsto zarośniętych akwariach z ciemnym podłożem i dekoracjami z korzeni. Światło stłumione roślinami pływającymi. Ryby lubią silny prąd wody. Nie są najlepszym towarzystwem dla piękniczkowatych, pielęgniczek i innych wolno pływających, weloniastych ryb. W akwarium biotopowym można je trzymać z karpiowatymi, piskorzowatymi np. <a title=""Bocja Karłowata"" href=""https://rybyakwariowe.eu/bocja-karlowata-ryba-akwariowa/"">bocja karłowata</a> lub <a title=""Kosiarka – Grubowarg Syjamski"" href=""https://rybyakwariowe.eu/kosiarka-ryba-akwariowa-grubowarg/"">kosiarka</a>. W akwarium towarzyskim z tęczankami czy tetrami.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Buszowiec ostropyski, Ctenopoma acutirostre ,23 - 28°C,15 - 20 cm,Afryka,"mrożony,żywy","<p>Zalecane minimum dla grupki to ok 200 litrowe akwarium, preferowane jednak większe, miejscami gęsto obsadzone roślinami, z ciemnym podłożem i dekoracją z korzeni. Ryby aktywność wykazują po zmroku, nie przepadają za jaskrawym oświetleniem, dlatego też należy wybierać rośliny cieniolubne takie jak Anubias czy Bolbitis. Akwarium powinno być przykryte. Pokrywa uchroni ryby przed wyskoczeniem ze zbiornika, a także zapewni im dostęp do ciepłego powietrza pobieranego z nad tafli wody.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,żywy,Długość życia: ,15 lat"
Bystrzyk barwny, Hyphessobrycon eques ,22 - 28°C,3 - 4 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Wymagają akwarium o długości min. 80 cm. Najładniej prezentują się w zbiornikach częściowo gęsto obsadzonych roślinnością, z ciemnym podłożem. Suche gałęzie i korzenie nadadzą akwarium bardziej naturalnego wyglądu oraz zapewnią wiele kryjówek i zaciemnionych miejsc. Suche liście dodatkowo podkreślą odczucie biotopu, a wraz z rozkładem, zapewnią dodatkowe źródło pokarmu dla narybku, będą także uwalniać do wody pożądane taniny.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 7 lat"
Bystrzyk amandy, Hyphessobrycon amandae , 23 - 28°C,2 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Dla grupy 8-12 ryb wystarczy ok. 30 litrowe akwarium. Ich ubarwienie można podziwiać w całej okazałości w zbiorniku z niezbyt jasnym oświetleniem i ciemnym podłożem, po bokach gęsto obsadzonym roślinami, z pozostawioną przestrzenią do pływania. Do odwzorowania ich naturalnego środowiska będziemy potrzebować piaszczystego podłoża, korzeni bagiennych, suchych liści oraz wody przefiltrowanej przez filtr torfowy.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 - 4 lat"
Bystrzyk cytrynowy – pięknopłetwy, Hyphessobrycon pulchripinnis ,23 - 28°C,3.5 - 4 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Wymagają akwarium o długości min. 60 cm (preferowane większe), z ciemnym podłożem, częściowo gęsto obsadzonym roślinnością. Do dekoracji można użyć suchych korzeni, gałęzi, które zapewnią rybom zacienione miejsca i schronienia. Dobrym dodatkiem będą również suche liście, które oddadzą charakter naturalnego biotopu, a także, wraz z rozkładem, zapewnią dodatkowe źródło pokarmu dla narybku oraz będą uwalniać pożądane garbniki.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,4 - 6 lat"
Akara z Maroni, Cleithracara maronii ,22 - 28°C,10 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Wymagają minimum 80 cm długości akwarium (preferowane większe). W zbiorniku powinno się znaleźć ciemne podłoże, kilka płaskich kamieni, korzenie i rośliny pływające, które zapewnią kilka zacienionych miejsc. Taka dekoracja najbardziej odzwierciedli ich naturalne środowisko. Nie lubią zbyt silnego prądu wody oraz jasnego oświetlenia. <strong>Wrażliwe na zanieczyszczenia wody i wymagają jej regularnych podmian.</strong></p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Akara błękitna, Andinoacara pulcher ,22 - 28°C,14 - 16 cm,Ameryka Płd.,umiarkowane,"<p>Do hodowli pary Akar błękitnych wymagane jest min. 240 litrowe akwarium, najlepiej z miękkim, piaszczystym podłożem, dekoracją z korzeni i powykręcanych gałęzi. Ryby uwielbiają przekopywać podłoże. Z roślin sprawdzą się gatunki pływające, przyczepiane do dekoracji lub inne ale posadzone w doniczkach. Wrażliwe na zanieczyszczenia wody, zaleca się wydajną filtrację i regularne podmiany. Optymalnymi parametrami wody będą dla nich pH 6.5.-7.0, 8-10 dGh, 3-5 kH i temperatura ok. 25°C.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Akarka czerwonobrzucha – wiśniowa, Laetacara dorsigera ,20 - 28°C,7 cm,Ameryka Płd.,"mrożony,roślinny,suchy,żywy","<p>Dla pary zaleca się zbiornik o minimum 80 cm długości, częściowo obsadzony roślinnością, z piaszczystym podłożem oraz dekoracją w postaci suchych korzeni i płaskich kamieni. Wskazanym dodatkiem są również suche liście np. Dębu, Buku, Ketapangu, które będą uwalniać do wody, pożądane przez ryby, związki humusowe. Nie lubią zbyt jasnego oświetlenia. Światło można ograniczyć roślinami pływającymi.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,3 - 8 lat"
Akarka paskowana, Nannacara anomala ,22 - 26°C,7.5 cm,Ameryka Płd.,"mrożony,roślinny,suchy,żywy","<p>Parę akarek paskowanych można trzymać w min. 54 litrowym akwarium (preferowane jednak większe), gęsto obsadzonym roślinami, z dużą ilością kryjówek i zakamarków. Dno można ozdobić skałkami czy korzeniami z bagnisk.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Hokejówka amazońska, Thayeria boehlkei ,22 - 28°C,6 - 7.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Te rybki są idealnym dodatkiem do gęsto zarośniętych zbiorników. Akwarium może być udekorowane poskręcanymi korzeniami, konarami, gładkimi głazami i kamieniami. Dobrym wyborem będzie też ciemne podłoże i pływające rośliny, które zapewnią nieco cienia rybom.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Kardynałek chiński, Tanichthys albonubes ,16 - 22°C,4 cm,Azja,"mrożony,suchy,żywy","<p>Ryby należy trzymać w dobrze filtrowanym akwarium o wymiarach co najmniej 60x30x30 cm. Najlepiej prezentują się na tle bujnej roślinności i ciemnego podłoża. Rośliny pływające, korzenie, gałęzie i suche liście oddadzą bardziej naturalne środowisko dla tego gatunku. Kardynałki wymagają niskiej temperatury wody, optymalna to przedział 16-22°C, w wyższych temperaturach, krócej żyją. Możemy je trzymać w akwarium towarzyskim z rybami o podobnych wymaganiach środowiskowych np. Brzanka różowa, Brzanka zielona, Wielkopłetw wspaniały, <a title=""Danio Lamparci – Pręgowany"" href=""https://rybyakwariowe.eu/ryba-akwariowa/danio-lamparci-pregowany/"">Danio Pręgowany</a>.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Ameka wspaniała, Ameca splendens ,20 - 30°C,10 cm,Ameryka Płn.,"glony,mrożony,roślinny,suchy,żywy","<p>Dla grupy niezbędne będzie przestronne akwarium o długości min. 90 cm, miejscami gęsto obsadzone roślinnością. Najlepiej prezentują się na ciemnym podłożu. Do dekoracji można użyć kamieni, suchych korzeni lub kawałków drewna.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,żyworodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Babka złota, Brachygobius doriae ,24 - 28°C,3  -  4 cm,Azja,umiarkowane,"<p>Wymagają minimum 40 litrowego zbiornika z dużą ilością zakamarków, kryjówek i jaskiń. Najlepiej zbiornik rozdzielić dekoracjami na kilka stref przez co słabsze osobniki łatwiej schowają się przed dominującym samcem. <strong>Preferują wodę słonawą</strong> ale mogą także żyć w wodzie słodkiej. W środowisku naturalnym migrują między słonymi a słodkimi wodami. Do podłoża możemy dodać pokruszony koral lub piasek koralowy, który będzie pełnił rolę bufora, lub sól morską w proporcji 2 g na litr wody. Prąd wody w akwarium nie powinien być zbyt silny.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,żywy,Długość życia: ,3 lata"
Babka tęczowa, Stiphodon ornatus ,20 - 28°C,6.5 - 7 cm,Azja,umiarkowane,"<p>Wbrew utartym poglądom, że można je trzymać nawet w akwarium poniżej 60 l, ryby te potrzebują jednak trochę więcej przestrzeni. Kluczowym kryterium jest wielkość powierzchni dna, która powinna wynosić co najmniej 80×30 cm dla kilku sztuk. Głębokość zbiornika nie jest tak istotna.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,2 - 3 lat"
Barwniak szmaragdowy, Pelvicachromis taeniatus ,22 - 26°C,8 cm,Afryka,"mrożony,roślinny,suchy,żywy","<p>Para barwniaków szmaragdowych wymaga co najmniej 70 litrowego akwarium, gęsto obsadzonego roślinami, z piaszczystym lub żwirowym podłożem i niezbyt mocnym oświetleniem. Zalecane liczne kryjówki z kamieni i korzeni, w których samica chętnie składa jaja. Woda powinna być czysta i regularnie podmieniana. Najlepiej czują się w wodzie alkalicznej lub lekko-kwaśnej i miękkiej. Lubią także garbniki wydzielane przez np. korzenie bagienne. Optymalna temperatura wody dla tych ryb to 24 – 26°C.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Badis bengalski – Dario dario, Dario dario ,18 - 26°C,2 cm,Azja,"mrożony,suchy,żywy","<p>Dla pary Badisów bengalskich lub haremu, samca z kilkoma samicami, wystarczy już ok. 30 litrowe akwarium. Dla większej ilości samców zbiornik musi być nieco większy, z dużą ilością kryjówek oraz licznymi załamaniami widoku, tak aby uniknąć częstych walk. Na dno można wysypać substrat, piasek lub drobny żwir, a do dekoracji użyć roślin np. Mikrozorium, Anubiasów czy mchów oraz korzeni, gałęzi i suchych liści. W ich siedliskach naturalnych występują rośliny z rodzajów takich jak <em>Hygrophilia</em>, <em>Limnophila</em>, <em>Ottelia</em>, <em>Rotala</em> i <em>Vallisneria</em>.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 lata"
Kirysek pigmej, Corydoras pygmaeus ,22 - 26°C,3 cm,Ameryka Płd.,bardzo łagodne,"<p>Akwarium dla małej grupy kirysków pigmejskich powinno mieć minimum ok 30 l (preferowane większe). Najlepiej czują się w niezbyt jasno oświetlonym i miejscowo gęsto obsadzonym zbiorniku, z ciemnym, piaszczystym podłożem. Wskazana również roślinność pływająca. Do dekoracji można użyć suchych gałęzi, korzeni czy liści, które nadadzą akwarium bardziej naturalnego charakteru.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
Barwniak czerwonobrzuchy, Pelvicachromis pulcher ,24 - 27°C,10 cm,Afryka,"mrożony,roślinny,suchy,żywy","<p>Dla pary zaleca się minimum 70 litrowe akwarium, z licznymi kryjówkami (dekoracjami skalnymi, grotami), niezbędnymi miejscami do rozrodu. Do tego celu można użyć glinianych doniczek, korzeni czy kawałków drewna. Roślinność nie jest niezbędna, ale ryby docenią dodatkowe schronienie. Na dno akwarium najlepiej zastosować piasek, który ryby chętnie przekopują, szczególnie w czasie tarła.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Gurami syjamski, Trichopodus pectoralis ,22 - 30°C,17 - 20 cm,Azja,"mrożony,suchy,żywy","<p>Minimalna pojemność akwarium dla dorosłych ryb to 112 l. Akwarium powinno być gęsto porośnięte roślinami z niezbyt silnym wymuszonym prądem wody. Na tafli wody powinno unosić się kilka roślin pływających, wymaganych do rozrodu. Muszą mieć dostęp do otwartej tafli wody by pobierać tlen z nad jej powierzchni.</p>","Żerowanie: ,przy tafli wody,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,4 - 6 lat"
Barwniak Thomasa, Anomalochromis thomasi ,23 - 27°C,9 - 10 cm,Afryka,"mrożony,suchy,żywy","<p>Para wymaga akwarium o wymiarach min. 75 cm długości i 75-100 l pojemności. Jako podłoże możemy użyć piasku lub żwiru. Rybkom należy zapewnić dużą liczbę kryjówek, zacienionych miejsc z korzeni, kamieni czy doniczek ceramicznych oraz pozostawić nieco otwartej przestrzeni do pływania. Będą idealnymi mieszkańcami zbiorników roślinnych, gdyż nie mają zamiłowania do kopania w podłożu.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Kirysek czarny, Corydoras schultzei ,21 - 27°C,7.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Dla małej grupy wystarczy akwarium o długości min. 60 cm z licznymi kryjówkami z korzeni lub kamieni i pozostawioną przestrzenią do pływania.<strong> Ważniejsza jest powierzchnia dna niż wysokość zbiornika</strong>. Oświetlenie nie powinno być zbyt jasne – można je np. stłumić roślinnością pływającą. Chętnie przekopują podłoże w poszukiwaniu pokarmu, dlatego nie powinno być ostre. Najodpowiedniejszy będzie miękki piasek. Słabo zakorzenione rośliny niestety będą wykopywane. Preferują wodę bogatą w tlen z umiarkowanym ruchem.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirys grzebykoczelny, Agamyxis pectinifrons ,22 - 26°C,12 - 15 cm,Ameryka Płd.,umiarkowane,"<p>Kirysy grzebykoczelne najlepiej będą się czuły w przestronnym zbiorniku, z miękkim, piaszczystym podłożem, niezbyt mocno oświetlonym, z dużą ilością kryjówek i miejsc zacienionych. Do dekoracji można użyć np. suchych korzeni, sztucznych jaskiń ceramicznych.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,glony,, ,mrożony,, ,suchy,, ,żywy,Długość życia: ,17 lat"
Kirysek albinos, Corydoras aeneus albino ,20 - 28°C,5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p><strong>Wymagają miękkiego podłoża </strong>(najlepiej piaszczystego), aby nie uszkodziły sobie wąsików podczas poszukiwania pokarmu. Dla stadka odpowiednie będzie akwarium o pojemności 54 l, z licznymi kryjówkami. Oświetlenie zbiornika niezbyt jaskrawe, rozproszone przez rośliny pływające. W akwarium towarzyskim mogą być trzymane z małymi rybami np. <a title=""Neon Innesa"" href=""https://rybyakwariowe.eu/ryba-akwariowa/neon-inesa-ryba-akwariowa/"" target=""_blank"" rel=""noopener noreferrer"">neon</a>, <a title=""Tetra Cesarska"" href=""https://rybyakwariowe.eu/ryba-akwariowa/tetra-cesarska-tetry/"" target=""_blank"" rel=""noopener noreferrer"">tetra</a>, brzanka, <a title=""Pielęgniczka Boliwijska"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-boliwijska-pielegnica/"" target=""_blank"" rel=""noopener noreferrer"">pielęgniczka</a>.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Kirysek Julii – Kirysek nakrapiany, Corydoras julii ,23 - 26°C,5.2 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Dla niewielkiej grupy kirsyków julii wystarczy 45 l akwarium. Najlepiej będą się czuły w zbiorniku biotopu Amazonki. <strong>Jako podłoża najlepiej użyć miękkiego piasku</strong>, na którym ryby nie pokaleczą sobie delikatnych wąsików i brzuszka, chętnie będą go też przesiewały w trakcie poszukiwania pokarmu. Do dekoracji nadadzą się suche korzenie, poskręcane gałązki i liście np. buku, dębu, ketapangu, będą one oddawać do wody pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Wodę dodatkowo można przefiltrować przez torf. Światło nie powinno być zbyt jaskrawe. Rośliny w naturalnych siedliskach nie występują.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek pstry, Corydoras paleatus ,20 - 26°C,7 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Akwarium co najmniej 54l, niezbyt gęsto obsadzone roślinami, dobrze filtrowane, wyposażone w liczne kryjówki z korzeni i kamieni. Rybom należy zapewnić miękkie podłoże o gładkich krawędziach. Najodpowiedniejszym jest piasek, który mogą przesiewać w poszukiwaniu pokarmu. Woda w akwarium nie powinna być za bardzo ciepła. <strong>Źle znoszą temperatury powyżej 29°C</strong>. Możemy je trzymać z innymi łagodnymi rybami o podobnych rozmiarach np. <a title=""Mieczyk Hellera"" href=""https://rybyakwariowe.eu/ryba-akwariowa/mieczyk-hellera-mieczyki/"" target=""_blank"" rel=""noopener noreferrer"">mieczyk hellera</a>, <a title=""Molinezja Ostrousta"" href=""https://rybyakwariowe.eu/ryba-akwariowa/molinezja-ostrousta-czarna/"" target=""_blank"" rel=""noopener noreferrer"">molinezja ostrousta</a>, <a title=""Neon Innesa"" href=""https://rybyakwariowe.eu/ryba-akwariowa/neon-innesa-neonki-inessa/"" target=""_blank"" rel=""noopener noreferrer"">neon innesa</a>.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Kirysek spiżowy, Corydoras aeneus ,20 - 28°C,7 cm,Ameryka Płd.,bardzo łagodne,"<p>Kiryski <strong>wymagają miękkiego (najlepiej piaszczystego) podłoża</strong>, żeby nie uszkodziły sobie wąsików podczas kopania w poszukiwaniu pokarmu. Dla grupki odpowiednie będzie akwarium o wymiarach 60x30x30 cm, wyposażone w liczne kryjówki z korzeni lub kamieni. W akwarium ogólnym mogą być trzymane z niewielkimi rybami np. <a title=""Żałobniczka – Czarna Tetra"" href=""https://rybyakwariowe.eu/ryba-akwariowa/zalobniczka-czarna-tetra/"" target=""_blank"" rel=""noopener noreferrer"">tetra</a>, <a title=""Brzanka różowa"" href=""https://rybyakwariowe.eu/ryba-akwariowa/brzanka-rozowa-brzanki-rozowe/"">brzanka</a>, <a title=""Pielęgniczka Ramireza"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-ramireza/"" target=""_blank"" rel=""noopener noreferrer"">pielęgnica</a>. Są wytrzymałymi rybami, które łatwo adaptują się do nowych warunków.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,bardzo łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek karłowaty – sierpoplamy, Corydoras hastatus ,20 - 28°C,2.4 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Akwarium min 30 l gęsto obsadzone roślinami, wyposażone w dobry filtr, ponieważ ryby są wrażliwe na duże stężenia azotanów. Kiryskom należy zapewnić miękkie podłoże. Najlepiej sprawdzi się piasek, który chętnie przesiewają w poszukiwaniu jedzenia. Oświetlenie nie powinno być zbyt silne. Do zacienienia stref pomocne będą np. rośliny pływające. Może być trzymany wyłącznie z niewielkimi, spokojnymi rybami. Przez duże ryby jak np. <a title=""Skalar – Żaglowiec"" href=""https://rybyakwariowe.eu/ryba-akwariowa/skalar-zaglowiec-skalary/"">Skalar</a>, może zostać zjedzony. Idealnym towarzystwem będą <a title=""Krewetki akwariowe"" rel=""nofollow"" href=""http://krewetkiakwariowe.pl"" target=""_blank"">krewetki karłowate</a> np. red cherry lub <a title=""Razbora Plamista – Karłowata"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-plamista-karlowata/"">małe razbory</a>.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Kirysek kolumbijski, Corydoras metae ,22 - 26°C,4 - 5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Grupka kirysków kolumbijskich dobrze będzie się czuła w min. 54 l akwarium, urządzonym na wzór biotopu czarnych wód. Najlepszym podłożem będzie delikatny piasek rzeczny, który nie uszkodzi ich wąsików. Do dekoracji mogą posłużyć suche korzenie, powykręcane gałązki oraz liście np. dębu, buku, ketapangu, które dodadzą zbiornikowi naturalnego wyglądu. Listki należy wymieniać co kilka tygodni. Korzenie i liście będą uwalniać do wody pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo można włożyć do filtra woreczek z torfem. Światło nie powinno być zbyt jaskrawe.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
